


map,disablebounds;

custom,cuboid,stone3,185,1,30,0,0,0,0,18.5,3,0,200,210,0,0,0,0;

custom,cuboid,stone3,145,1,12,0,0,0,0,14.5,1.2,-240,200,0,0,0,0,0;

custom,cuboid,stone3,185,1,30,0,0,0,0,18.5,3,0,200,-210,0,0,0,0;

custom,cuboid,stone3,35,1,12,0,0,0,0,3.5,1.2,800,200,0,0,0,0,0;

custom,cuboid,metal3,155,1,155,0,0,0,0,15.5,15.5,0,0,0,0,0,0,0;


custom,cuboid,house7mat,1,10,185,0,0,0,0,0.1,0.4,0,255,-355,0,0.7071068,0,0.7071068;

custom,cuboid,house7mat,1,10,185,0,0,0,0,0.1,0.4,0,255,355,0,0.7071068,0,0.7071068;

custom,cuboid,house7mat,1,10,90,0,0,0,0,0.1,0.4,925,255,25,0,0,0,1;

custom,cuboid,house7mat,1,10,90,0,0,0,0,0.1,0.4,-915,255,25,0,0,0,1;


spawnpoint,playerM,-840,215,-15,1,0,-1,0;
spawnpoint,playerC,-840,215,25,1,0,-1,0;


custom,house10,default,2,3,2,0,1,1,1,1,1,-815,255,-15,0,1,0,1;

custom,house10,default,2,3,2,0,1,1,1,1,1,-835,255,-105,0,0.5,0,0.8660254;

custom,house10,default,2,3,2,0,1,1,1,1,1,-805,255,-195,0,0.258819,0,0.9659258;

custom,house10,default,2,3,2,0,1,1,1,1,1,-695,255,-265,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,-565,255,-265,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,-435,255,-265,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,-305,255,-265,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,-155,255,-165,0,1,0,1;

custom,house10,default,2,3,2,0,1,1,1,1,1,-40,255,-135,0,-0.9659258,0,-0.258819;

custom,house10,default,2,3,2,0,1,1,1,1,1,-75,255,-75,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,55,255,-75,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,185,255,-75,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,355,255,-77,0,1,0,1;


custom,house10,default,2,3,2,0,1,1,1,1,1,330,255,-217,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,460,255,-217,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,590,255,-217,0,0,0,0;





custom,house10,default,-2,-3,-2,0,1,1,1,1,1,-815,255,25,1,0,-1,0;

custom,house10,default,-2,-3,-2,0,1,1,1,1,1,-835,255,115,0.5,0,-0.8660254,0;

custom,house10,default,-2,-3,-2,0,1,1,1,1,1,-805,255,205,0.258819,0,-0.9659258,0;


custom,house10,default,2,3,2,0,1,1,1,1,1,-695,255,345,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,-565,255,345,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,-435,255,345,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,-305,255,345,0,0,0,0;


custom,house10,default,2,3,2,0,1,1,1,1,1,-155,255,345,0,1,0,1;

custom,house10,default,-2,-3,-2,0,1,1,1,1,1,-40,255,145,-0.9659258,0,0.258819,0;





custom,house10,default,2,3,2,0,1,1,1,1,1,-75,255,153,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,55,255,153,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,185,255,153,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,355,255,255,0,1,0,1;


custom,house10,default,2,3,2,0,1,1,1,1,1,330,255,295,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,460,255,295,0,0,0,0;

custom,house10,default,2,3,2,0,1,1,1,1,1,590,255,295,0,0,0,0;



custom,house10,default,-2,-3,-2,0,1,1,1,1,1,795,255,110,1,0,-1,0;

custom,house10,default,-2,-3,-2,0,1,1,1,1,1,795,255,-20,1,0,-1,0;

